Number of procs: 16
Iter NtotElectrons NtotIons NtotPtcls Charge Pois Field Push Coll Full
680000 153997 148310 302307 0.00173915 0.0321302 0.0027038 0.0115642 0.00222473 539.291
690000 154610 148869 303479 0.00170633 0.0321106 0.00267606 0.0116053 0.00224253 539.499
700000 155267 149639 304906 0.00171156 0.03211 0.00268431 0.0116464 0.00225004 540.317
710000 155960 150356 306316 0.00171403 0.0321096 0.00269902 0.0117156 0.00224122 541.205
720000 156732 151186 307918 0.00172105 0.0321112 0.00271064 0.0117965 0.00227503 542.752
730000 156191 150814 307005 0.0017196 0.032109 0.00271141 0.0118097 0.00224922 542.631
740000 157321 151726 309047 0.00172022 0.0321089 0.00271124 0.0118163 0.0022528 542.767
750000 157481 151779 309260 0.00172592 0.0321093 0.00272459 0.0118794 0.00226472 543.883
760000 157493 152021 309514 0.0017249 0.0321104 0.00272151 0.011856 0.00222803 543.235
770000 158008 152515 310523 0.00172645 0.0321094 0.00272583 0.0118862 0.00224171 543.782
780000 157653 152083 309736 0.00173461 0.03211 0.00273442 0.0119367 0.00226249 544.755
790000 157172 151573 308745 0.00172382 0.032111 0.00271927 0.0118587 0.0022311 543.225
800000 159313 153384 312697 0.00172921 0.0321107 0.00273003 0.011933 0.00226105 544.582
810000 158825 153145 311970 0.00173695 0.0321096 0.00274253 0.0120147 0.00227445 545.924
820000 157331 151754 309085 0.00172813 0.0321098 0.00272998 0.011911 0.00222265 543.934
830000 157451 152301 309752 0.00172423 0.0321098 0.00272043 0.0118601 0.0022249 543.227
840000 157585 152224 309809 0.00172576 0.0321109 0.00272229 0.0118749 0.00223919 543.593
850000 158327 152916 311243 0.00172696 0.0321097 0.00272746 0.0119308 0.00224442 544.355
860000 159607 154040 313647 0.00173436 0.0321114 0.00274211 0.0120012 0.00227904 545.832
870000 159646 154105 313751 0.00173853 0.0321109 0.00275536 0.0120667 0.00228085 546.853
880000 159119 153685 312804 0.00173994 0.0321106 0.0027458 0.0120292 0.00224041 545.927
890000 159444 154053 313497 0.00173547 0.03211 0.00274469 0.0120256 0.00224268 545.778
900000 159747 154160 313907 0.0017385 0.0321106 0.00275375 0.0120652 0.00226465 546.619
910000 159792 154282 314074 0.00173756 0.0321109 0.00275264 0.0120722 0.00225737 546.647
920000 161274 155377 316651 0.00174494 0.0321105 0.00276573 0.012129 0.00228085 547.757
930000 160738 155081 315819 0.00174551 0.0321093 0.0027715 0.0121825 0.00228313 548.43
940000 160255 154722 314977 0.0017402 0.0321096 0.0027603 0.012111 0.00226193 547.26
950000 161966 156314 318280 0.00186179 0.0321816 0.00285654 0.012345 0.00231973 553.773
960000 161837 156102 317939 0.00175234 0.0321288 0.00278272 0.0122355 0.00232694 550.016
970000 162203 156626 318829 0.00175185 0.0321302 0.00278404 0.0122466 0.00230441 549.929
980000 162677 156730 319407 0.00175395 0.03211 0.00279243 0.012253 0.00230831 549.989
990000 162418 156839 319257 0.00200512 0.0322003 0.00298597 0.0127586 0.00236876 562.266
1000000 162457 156910 319367 0.00175314 0.0321084 0.00278927 0.0122839 0.00229954 550.18
1010000 163027 157519 320546 0.00175661 0.0321086 0.00279216 0.0122945 0.00232099 550.619
1020000 164107 158449 322556 0.00176278 0.0321099 0.00280625 0.0123529 0.00234827 551.902
1030000 164612 158660 323272 0.00177032 0.0321082 0.00281839 0.0124562 0.00233363 553.074
1040000 165300 159538 324838 0.00178024 0.0321212 0.00287795 0.0125878 0.00236703 555.704
1050000 164321 159138 323459 0.00177478 0.0321097 0.00285389 0.0125287 0.00233019 554.303
1060000 163511 158188 321699 0.00176247 0.0321083 0.00280319 0.0123639 0.00230859 551.595
1070000 164743 159361 324104 0.00176383 0.0321089 0.00280784 0.0123988 0.00234304 552.414
1080000 165207 159546 324753 0.00178472 0.0321086 0.00289214 0.0126243 0.00239515 556.475
1090000 165344 159673 325017 0.00178331 0.0321092 0.00289476 0.0126254 0.00236309 556.148
1100000 165614 160100 325714 0.00178675 0.0321089 0.0028982 0.012658 0.00234846 556.533
1110000 165207 159896 325103 0.00178387 0.0321081 0.00289546 0.0126289 0.00233625 556.033
1120000 163665 158354 322019 0.00177088 0.0321085 0.00284641 0.0124883 0.00232958 553.763
1130000 163530 158251 321781 0.00176417 0.0321093 0.00280525 0.01238 0.00233821 552.193
1140000 163730 158404 322134 0.00176538 0.0321092 0.00280361 0.0123451 0.00233925 551.752
1150000 163999 158674 322673 0.00176401 0.0321087 0.00279869 0.0123372 0.00231113 551.385
1160000 164138 158596 322734 0.00176699 0.0321146 0.00281682 0.0124524 0.00229606 552.712
1170000 164008 158766 322774 0.00176784 0.0321091 0.0028179 0.0124563 0.00228851 552.671
1180000 163799 158644 322443 0.00176488 0.0321083 0.00280985 0.0123925 0.00230179 551.994
1190000 163914 158530 322444 0.00176315 0.0321112 0.00281365 0.0123785 0.00233488 552.201
1200000 163954 158665 322619 0.00176547 0.0321096 0.00281822 0.0124477 0.0023486 553.128
1210000 164250 158795 323045 0.00176368 0.0321106 0.0028081 0.0123719 0.00231968 551.948
1220000 164233 159048 323281 0.00176626 0.032108 0.0028149 0.0124414 0.00229907 552.569
1230000 163393 158265 321658 0.00176397 0.0321082 0.00281238 0.012397 0.00227805 551.79
1240000 161598 156419 318017 0.00175447 0.032108 0.00278839 0.01229 0.00227338 550.051
1250000 161002 156105 317107 0.00174702 0.0321099 0.0027738 0.0121857 0.00230056 548.832
1260000 161005 155748 316753 0.00178425 0.0321087 0.00279976 0.0121785 0.00232147 549.64
1270000 161351 155710 317061 0.00174668 0.032109 0.00277594 0.0121574 0.00230048 548.512
1280000 161399 156023 317422 0.00174904 0.0321096 0.00277888 0.0121927 0.00227269 548.692
1290000 160536 155204 315740 0.00174535 0.0321068 0.00277331 0.0121439 0.00224452 547.622
1300000 159543 154346 313889 0.0017378 0.0321041 0.00275621 0.0120525 0.00224117 546.234
1310000 160242 155152 315394 0.00173861 0.0321077 0.00276242 0.0120739 0.00228688 547.032
1320000 160768 155606 316374 0.00174415 0.0321094 0.00276657 0.0120979 0.00231065 547.695
1330000 161087 155820 316907 0.00174507 0.0321103 0.00277012 0.0121265 0.00229078 547.905
1340000 161746 156458 318204 0.00174911 0.0321081 0.0027856 0.0122098 0.0022764 548.985
1350000 161056 156129 317185 0.00174952 0.0321064 0.00277728 0.0122098 0.00225299 548.699
1360000 159625 154759 314384 0.00174233 0.0321078 0.00276495 0.0121212 0.00224668 547.338
1370000 160143 155024 315167 0.00173611 0.0321086 0.00274953 0.0120302 0.00226123 546.135
1380000 159714 154590 314304 0.0017408 0.0321083 0.00275831 0.0120818 0.0022873 547.172
1390000 160603 155099 315702 0.00174086 0.0321075 0.00276166 0.0120818 0.00227198 547.017
1400000 160989 155210 316199 0.00174621 0.0321067 0.00276942 0.0121373 0.0022629 547.704
1410000 160334 154893 315227 0.00174489 0.032108 0.00276768 0.0121186 0.00223432 547.186
1420000 159266 154086 313352 0.00173736 0.0321093 0.00275439 0.0120421 0.00222789 546.003
1430000 159905 154696 314601 0.00173721 0.0321091 0.00275286 0.0120412 0.00226473 546.327
1440000 160450 155035 315485 0.00174266 0.0321094 0.00276309 0.0120982 0.00229314 547.486
1450000 160608 155076 315684 0.001746 0.0321087 0.00277023 0.0121155 0.00227836 547.633
1460000 161410 155740 317150 0.00174668 0.0321079 0.00277387 0.0121717 0.00226444 548.242
1470000 161059 155399 316458 0.00174696 0.0321081 0.002776 0.0121986 0.00224474 548.296
1480000 159508 154240 313748 0.00174233 0.0321076 0.00276474 0.0121074 0.00224124 547.027
1490000 158874 153606 312480 0.00173525 0.0321091 0.00274364 0.0120034 0.0022625 545.716
1500000 158589 153100 311689 0.0017347 0.0321079 0.00274344 0.0119709 0.00227185 545.378
1510000 159686 153841 313527 0.00173487 0.0321078 0.00274477 0.0120061 0.00225413 545.585
1520000 160193 154303 314496 0.00174113 0.0321092 0.00276068 0.0120786 0.00224881 546.667
1530000 159446 153919 313365 0.00176915 0.0321229 0.00279097 0.0121404 0.00223759 548.011
1540000 158221 152954 311175 0.00173172 0.0321075 0.00273959 0.0119588 0.00221573 544.544
1550000 159193 153715 312908 0.00173381 0.0321085 0.00274168 0.0119628 0.00227597 545.31
1560000 158952 153593 312545 0.00173311 0.0321086 0.00274147 0.0119708 0.00228335 545.468
1570000 159381 153704 313085 0.00173372 0.0321081 0.00274597 0.0119945 0.002255 545.537
1580000 159955 154278 314233 0.00173879 0.0321073 0.00275805 0.012062 0.0022366 546.305
1590000 158113 152951 311064 0.00173423 0.032107 0.0027468 0.0120139 0.00220647 545.237
